date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:20:40	352990/352990	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:5d306af51407f3d8d480823ed5c7076f%22	https://themilkybox.com/collections/kendamil-formula	C:/MyWeb/KENDAMIL/themilkybox.com/collections/kendamil-formula.html	(from )
22:20:40	519/519	---MCZ	200	added ('OK')	text/plain	etag:%22cacheable:1da0454564a447cfc7295c9d0912a8c8%22	https://themilkybox.com/robots.txt		(from )
22:20:43	42833/42833	---M-Z	200	added ('OK')	application/javascript	etag:%22060e2effcb8d91:0%22	http://bat.bing.com/bat.js	C:/MyWeb/KENDAMIL/bat.bing.com/bat.js	(from https://themilkybox.com/collections/kendamil-formula)
22:20:43	283/283	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2028%20Jul%202023%2005:20:42%20GMT	https://themilkybox.com/cart.js	C:/MyWeb/KENDAMIL/themilkybox.com/cart.js	(from https://themilkybox.com/collections/kendamil-formula)
22:20:43	627821/627821	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:9a91d1622651e6090fde21b211fa7e67%22	https://themilkybox.com/collections/kendamil-formula/products/kendamil-organic-stage-1-baby-formula	C:/MyWeb/KENDAMIL/themilkybox.com/collections/kendamil-formula/products/kendamil-organic-stage-1-baby-formula.html	(from )
22:20:43	89501/89501	---M--	200	added ('OK')	text/javascript	date:Wed,%2010%20Mar%202021%2014:28:09%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/MyWeb/KENDAMIL/ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://themilkybox.com/collections/kendamil-formula)
22:20:43	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2028%20Jul%202023%2005:20:43%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/MyWeb/KENDAMIL/www.googletagmanager.com/gtm.55445.delayed	(from https://themilkybox.com/collections/kendamil-formula)
22:20:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Jul%202023%2005:20:43%20GMT	http://themilkybox.com/cdn/shop/t/39/assets/theme.css?v=96782109091544134521685200733	C:/MyWeb/KENDAMIL/themilkybox.com/cdn/shop/t/39/assets/theme.69b1e.delayed	(from https://themilkybox.com/collections/kendamil-formula)
22:20:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Jul%202023%2005:20:45%20GMT	http://themilkybox.com/cdn/shop/t/39/assets/lazysizes.min.js?v=111431644619468174291685112142	C:/MyWeb/KENDAMIL/themilkybox.com/cdn/shop/t/39/assets/lazysizes.min8af4.js	(from https://themilkybox.com/collections/kendamil-formula)
22:20:45	415119/415119	---MCZ	200	added ('OK')	text/css	date:Thu,%2029%20Jun%202023%2019:42:20%20GMT	https://themilkybox.com/cdn/shop/t/39/assets/theme.css?v=96782109091544134521685200733	C:/MyWeb/KENDAMIL/themilkybox.com/cdn/shop/t/39/assets/theme9b1e.css	(from https://themilkybox.com/collections/kendamil-formula)
22:20:45	28658/28658	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2029%20Jun%202023%2019:42:20%20GMT	https://themilkybox.com/cdn/shop/t/39/assets/lazysizes.min.js?v=111431644619468174291685112142	C:/MyWeb/KENDAMIL/themilkybox.com/cdn/shop/t/39/assets/lazysizes.min8af4.js	(from https://themilkybox.com/collections/kendamil-formula)
